deactivate android storage device,Deaktiviere Android Speichergerät
Activate Android storage device,Aktiviere Android Speichergerät
add an item to files ,Füge einen Eintrag zu Dateien hinzu
copy a file or directory,Kopiere eine Datei oder Ordner
delete a file or directory,Lösche eine Datei oder Ordner
show size of the trash,Größe des Papierkorbs anzeigen
retrieve from the trash,Aus Papierkorb wiederherstellen
clean out the trash,Papierkorb leeren
activate first USB storage device,Aktiviere erstes USB Speichergerät
deactivate first uSB storage device,Deaktiviere erstes USB Speichergerät
